seed,protocol,model,roc_auc,pr_auc,fpr_at_tpr_90,fpr_at_tpr_95,asr_reduction_90,asr_reduction_95,blocked_benign_rate_90,blocked_benign_rate_95,latency_p50_ms,latency_p95_ms,budget_1_threshold,budget_1_fpr,budget_1_tpr,budget_1_asr,budget_1_blocked_benign,budget_3_threshold,budget_3_fpr,budget_3_tpr,budget_3_asr,budget_3_blocked_benign,budget_5_threshold,budget_5_fpr,budget_5_tpr,budget_5_asr,budget_5_blocked_benign
0,S_attack_holdout,context_transformer,0.9987199999999999,0.9989995327900063,0.0,0.01,0.9359999999999999,0.976,0.0,0.01,4445.441458003188,4481.631627598836,,,,,,,,,,,,,,,
0,S_attack_holdout,context_transformer_keep_prompt,0.9987199999999999,0.9989995327900063,0.0,0.01,0.9359999999999999,0.976,0.0,0.01,4109.69947900594,4290.814066605526,0.9986562728881836,0.0,0.0,0.0,0.0,0.9986562728881836,0.0,0.0,0.0,0.0,0.9986562728881836,0.0,0.0,0.0,0.0
0,S_attack_holdout,context_transformer_naive,0.99824,0.9986295173168382,0.0,0.01,0.912,0.976,0.0,0.01,2526.0944580004434,2563.4309580047557,0.9980373978614807,0.0,0.0,0.0,0.0,0.9980373978614807,0.0,0.0,0.0,0.0,0.9980373978614807,0.0,0.0,0.0,0.0
0,S_attack_holdout,heuristic,0.848,0.9324444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.2667709961533546,1.4993713470175858,,,,,,,,,,,,,,,
0,S_attack_holdout,heuristic_score,0.848,0.9324444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.3582290121121332,1.6002579977794085,,,,,,,,,,,,,,,
0,S_attack_holdout,tfidf_lr,0.94408,0.9606247367368881,0.37,0.41,0.944,1.0,0.37,0.41,1.9301034990348853,2.0842042038566433,,,,,,,,,,,,,,,
0,S_attack_holdout,transformer,0.9803999999999999,0.9874697712418301,0.0,0.35,0.928,1.0,0.0,0.35,758.6960834960337,802.9063914458675,,,,,,,,,,,,,,,
0,S_random,context_transformer,1.0,1.0,0.0,0.0,0.9274193548387096,1.0,0.0,0.0,4486.892458000511,4533.234029352752,,,,,,,,,,,,,,,
0,S_random,context_transformer_keep_prompt,1.0,1.0,0.0,0.0,0.9274193548387096,1.0,0.0,0.0,3993.5470415002783,4021.471676747751,0.8033505082130432,0.0,0.0,0.0,0.0,0.8033505082130432,0.0,0.0,0.0,0.0,0.8033505082130432,0.0,0.0,0.0,0.0
0,S_random,context_transformer_naive,0.9998387096774194,0.9998714797747056,0.0,0.0,0.9435483870967742,0.9596774193548387,0.0,0.0,2445.7579584995983,2471.921410898358,0.9679445028305054,0.0,0.0,0.0,0.0,0.9679445028305054,0.0,0.0,0.0,0.0,0.9679445028305054,0.0,0.0,0.0,0.0
0,S_random,heuristic,0.7137096774193549,0.8721918202764977,1.0,1.0,1.0,1.0,1.0,1.0,1.4109159965300933,1.6159419872565193,,,,,,,,,,,,,,,
0,S_random,heuristic_score,0.7137096774193549,0.8721918202764978,1.0,1.0,1.0,1.0,1.0,1.0,1.6119165084091946,1.7131373468146194,,,,,,,,,,,,,,,
0,S_random,tfidf_lr,0.9999193548387098,0.9999352237252862,0.0,0.0,0.9032258064516129,0.967741935483871,0.0,0.0,2.357249497435987,2.729527200426673,,,,,,,,,,,,,,,
0,S_random,transformer,0.997741935483871,0.9981848590375899,0.0,0.04,0.9435483870967742,1.0,0.0,0.04,809.8990415019216,853.9949937476194,,,,,,,,,,,,,,,
0,S_tool_holdout,context_transformer,0.9296203400004287,0.9414180803774714,0.3474178403755869,0.37089201877934275,0.904109589041096,0.954337899543379,0.3474178403755869,0.37089201877934275,8517.85081250273,8600.50887530524,,,,,,,,,,,,,,,
0,S_tool_holdout,heuristic,0.7648401826484018,0.8840531456113647,1.0,1.0,1.0,1.0,1.0,1.0,3.0619170065619983,3.1593269093718845,,,,,,,,,,,,,,,
0,S_tool_holdout,heuristic_score,0.7758805496602139,0.886878097340345,0.9530516431924883,0.9530516431924883,1.0,1.0,0.9530516431924883,0.9530516431924883,3.2574374999967404,3.443866849556798,,,,,,,,,,,,,,,
