protocol,model,n_seeds,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fpr_at_tpr_90_mean,fpr_at_tpr_90_std,fpr_at_tpr_95_mean,fpr_at_tpr_95_std,asr_reduction_90_mean,asr_reduction_90_std,asr_reduction_95_mean,asr_reduction_95_std,blocked_benign_rate_90_mean,blocked_benign_rate_90_std,blocked_benign_rate_95_mean,blocked_benign_rate_95_std,latency_p50_ms_mean,latency_p50_ms_std,latency_p95_ms_mean,latency_p95_ms_std,budget_1_threshold_mean,budget_1_threshold_std,budget_1_fpr_mean,budget_1_fpr_std,budget_1_tpr_mean,budget_1_tpr_std,budget_1_asr_mean,budget_1_asr_std,budget_1_blocked_benign_mean,budget_1_blocked_benign_std,budget_3_threshold_mean,budget_3_threshold_std,budget_3_fpr_mean,budget_3_fpr_std,budget_3_tpr_mean,budget_3_tpr_std,budget_3_asr_mean,budget_3_asr_std,budget_3_blocked_benign_mean,budget_3_blocked_benign_std,budget_5_threshold_mean,budget_5_threshold_std,budget_5_fpr_mean,budget_5_fpr_std,budget_5_tpr_mean,budget_5_tpr_std,budget_5_asr_mean,budget_5_asr_std,budget_5_blocked_benign_mean,budget_5_blocked_benign_std
S_attack_holdout,context_transformer_keep_prompt_longschema,3,0.9979999999999999,1.3597399555105182e-16,0.998417050102255,0.0,0.0,0.0,0.01,0.0,0.912,0.0,0.976,0.0,0.0,0.0,0.01,0.0,4527.479388833551,238.89197108521293,4615.62024243661,320.82245369450334,0.9981443881988525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981443881988525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981443881988525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_attack_holdout,context_transformer_naive_longschema,3,0.45514666666666664,2.30940107675921e-05,0.5409963606590945,0.00020860401744370413,0.92,0.0,0.9499999999999998,1.3597399555105182e-16,0.912,0.0,0.984,0.0,0.92,0.0,0.9499999999999998,1.3597399555105182e-16,4403.954833830842,65.35280140163479,4859.299118847412,438.74316973992075,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_random,context_transformer_keep_prompt_longschema,3,0.996962365591398,0.00024637503736322326,0.9977078706072477,0.00018766141516714092,0.0,0.0,0.0033333333333333335,0.005773502691896258,0.9543010752688174,0.009312101115961698,0.9623655913978495,0.004656050557980849,0.0,0.0,0.0033333333333333335,0.005773502691896258,4579.3476668332005,191.97756604430356,4806.962606934637,306.8208468971591,0.9795017639795939,0.01480568717812855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9504225651423136,0.010526667461815613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666371102134387,0.028964765089762243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_random,context_transformer_naive_longschema,3,0.4786290322580646,5.551115123125783e-17,0.6566087548171691,7.850462293418876e-17,0.9,0.0,0.96,0.0,0.9032258064516129,0.0,0.9516129032258065,0.0,0.9,0.0,0.96,0.0,4583.619250166521,233.35299830007654,4872.227925768918,484.1846765333025,0.433110644419988,3.878120838789768e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433110644419988,3.878120838789768e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433110644419988,3.878120838789768e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
